t,v
29-08-2022 14:03,248.4687
30-08-2022 05:06,247.8514
31-08-2022 07:11,252.1724
30-08-2022 15:08,251.0407
31-08-2022 14:13,249.2917
31-08-2022 22:15,255.7732
01-09-2022 14:18,239.3123
01-09-2022 21:20,257.3164
02-09-2022 14:23,255.7732
01-09-2022 16:18,250.9378
02-09-2022 18:24,250.9378
02-09-2022 22:25,244.8679
03-09-2022 07:27,247.7485
03-09-2022 21:30,239.5181
04-09-2022 07:32,245.4851
04-09-2022 14:33,240.8555
05-09-2022 06:37,246.9255
04-09-2022 20:35,245.588
05-09-2022 13:38,242.7074
05-09-2022 22:40,244.4563
06-09-2022 16:44,251.1436
06-09-2022 22:46,244.9707
08-09-2022 08:53,251.3493
09-09-2022 00:56,249.6004
09-09-2022 04:57,253.0983
09-09-2022 17:00,253.0983
09-09-2022 23:01,244.9707
10-09-2022 08:03,249.3946
10-09-2022 18:05,248.9831
10-09-2022 23:06,244.3535
11-09-2022 14:09,243.4275
12-09-2022 00:12,248.8802
12-09-2022 18:15,244.765
13-09-2022 07:18,253.2012
13-09-2022 18:21,253.8185
14-09-2022 03:23,251.9666
14-09-2022 12:24,257.2135
15-09-2022 02:27,257.3164
15-09-2022 07:29,255.7732
15-09-2022 15:30,256.6991
16-09-2022 06:33,256.0819
16-09-2022 14:35,258.8596
17-09-2022 09:39,254.6415
17-09-2022 15:41,259.6827
18-09-2022 10:45,255.3617
18-09-2022 17:46,259.2712
19-09-2022 01:48,256.5963
19-09-2022 09:50,256.6991
20-09-2022 14:56,247.1312
21-09-2022 10:00,256.4934
19-09-2022 18:52,252.2753
20-09-2022 23:58,251.2465
21-09-2022 19:02,250.5263
21-09-2022 21:02,243.6333
22-09-2022 09:05,244.9707
22-09-2022 16:06,236.6374
23-09-2022 02:09,240.2382
23-09-2022 10:10,237.4605
24-09-2022 01:13,251.5551
24-09-2022 06:15,267.5016
25-09-2022 03:19,266.0613
25-09-2022 09:20,256.2876
25-09-2022 16:22,261.4316
25-09-2022 23:23,262.1518
26-09-2022 09:26,269.6621
26-09-2022 18:27,257.7279
27-09-2022 02:29,259.6827
27-09-2022 09:31,271.8226
27-09-2022 05:30,264.4152
28-09-2022 01:34,260.4028
28-09-2022 14:37,258.4481
29-09-2022 01:39,249.3946
29-09-2022 17:43,253.7156
30-09-2022 03:45,249.1889
30-09-2022 10:46,263.695
30-09-2022 10:46,263.695
30-09-2022 14:47,275.9378
01-10-2022 10:52,296.9255
30-09-2022 20:49,293.016
01-01-2021 04:59,240.1197
01-01-2021 08:39,243.4132
01-01-2021 14:09,238.3234
01-01-2021 17:50,235.6287
02-01-2021 01:10,241.9162
02-01-2021 08:31,238.0239
02-01-2021 10:21,243.1138
02-01-2021 14:01,246.4072
