t,v
28-03-2021 18:31,48.77451
28-03-2021 23:59,42.40196
29-03-2021 09:07,40.93137
29-03-2021 21:54,42.40196
30-03-2021 03:23,46.56862
30-03-2021 03:23,50
30-03-2021 14:20,53.43137
30-03-2021 14:20,47.30392
30-03-2021 23:28,42.40196
30-03-2021 19:49,40.44115
31-03-2021 08:36,40.44115
1-4-21   7:49,64.42307
1-4-21   15:14,74.03846
1-4-21   22:40,60.57691
2-4-21   13:31,63.46155
2-4-21   22:48,55.76922
3-4-21   11:48,55.76922
4-4-21   4:30,42.30774
4-4-21   6:21,50.96152
4-4-21   17:30,58.65386
5-4-21   2:47,48.07695
5-4-21   10:12,65.3846
5-4-21   17:38,78.84619
6-4-21   6:37,74.03846
6-4-21   17:46,83.65388
7-4-21   4:54,74.03846
7-4-21   6:45,65.3846
7-4-21   14:11,63.46155
8-4-21   1:19,73.07693
8-4-21   8:45,85.57693
8-4-21   18:1,77.88463
8-4-21   21:44,68.26924
9-4-21   1:27,58.65386
9-4-21   18:9,75.96154
10-4-21   7:9,62.50003
10-4-21   18:17,67.30772
11-4-21   5:26,57.69234
11-4-21   22:8,48.07695
11-4-21   22:8,59.61538
12-4-21   5:34,76.9231
12-4-21   9:16,67.30772
12-4-21   18:33,53.84617
13-04-2021 03:50,45.19231
13-04-2021 07:33,56.73081
14-04-2021 00:15,53.84617
14-04-2021 16:58,69.23077
15-04-2021 04:06,60.57691
15-04-2021 13:23,69.23077
16-04-2021 02:23,53.84617
16-04-2021 07:57,63.46155
16-04-2021 07:57,73.07693
16-04-2021 15:22,83.65388
16-04-2021 15:22,98.07695
17-04-2021 02:31,74.03846
17-04-2021 09:56,88.46157
17-04-2021 09:56,100
17-04-2021 19:13,98.07695
17-04-2021 22:56,76.9231
18-04-2021 02:39,84.61533
18-04-2021 19:21,96.15387
18-04-2021 23:04,78.84619
19-04-2021 02:47,67.30772
19-04-2021 13:55,68.26924
20-04-2021 01:03,52.88464
20-04-2021 12:11,60.57691
21-04-2021 03:02,53.84617
21-04-2021 04:54,63.46155
21-04-2021 06:45,74.03846
22-04-2021 03:10,67.30772
22-04-2021 03:10,84.61533
22-04-2021 03:10,94.23071
22-04-2021 16:10,101.9231
23-04-2021 01:27,84.61533
23-04-2021 18:09,101.9231
24-04-2021 01:35,86.53849
24-04-2021 18:17,97.11539
24-04-2021 23:52,86.53849
25-04-2021 16:34,81.73079
26-04-2021 07:25,72.11541
27-04-2021 00:07,63.46155
27-04-2021 09:24,71.15389
27-04-2021 16:50,64.42307
28-04-2021 02:07,75.96154
28-04-2021 02:07,87.50001
28-04-2021 05:50,107.6923
28-04-2021 15:06,82.69232
28-04-2021 22:32,92.3077
28-04-2021 22:32,104.8077
29-04-2021 05:58,80.76923
29-04-2021 11:32,80.76923
30-04-2021 00:31,67.30772
30-04-2021 06:05,80.76923
30-04-2021 15:22,80.76923
1-5-21   4:22,72.11541
1-5-21   11:48,92.3077
1-5-21   19:13,74.03846
2-5-21   10:4,74.03846
2-5-21   11:56,62.50003
2-5-21   23:4,53.84617
3-5-21   6:29,63.46155
3-5-21   17:38,79.80764
3-5-21   21:20,67.30772
3-5-21   21:20,52.88464
4-5-21   17:46,69.23077
4-5-21   23:20,57.69234
5-5-21   10:28,64.42307
5-5-21   10:28,79.80764
5-5-21   17:54,90.38462
6-5-21   1:19,72.11541
5-5-21   21:36,59.61538
6-5-21   6:53,63.46155
6-5-21   23:36,53.84617
7-5-21   14:27,65.3846
8-5-21   5:18,58.65386
8-5-21   16:26,72.11541
9-5-21   1:43,65.3846
9-5-21   11:0,77.88463
10-5-21   1:51,65.3846
10-5-21   5:34,75.96154
10-5-21   20:25,65.3846
11-5-21   5:42,87.50001
12-5-21   0:15,66.3462
12-5-21   18:49,70.19229
13-05-2021 00:23,79.80764
13-05-2021 05:58,95.19231
13-05-2021 09:40,104.8077
13-05-2021 15:14,114.4231
14-05-2021 02:23,101.9231
14-05-2021 07:57,115.3846
14-05-2021 13:31,126.9231
14-05-2021 20:57,108.6538
15-05-2021 09:56,122.1154
15-05-2021 09:56,133.6538
15-05-2021 13:39,148.0769
15-05-2021 13:39,162.5
16-05-2021 00:47,155.7693
16-05-2021 02:39,171.1539
16-05-2021 00:47,186.5384
16-05-2021 00:47,200.9615
16-05-2021 02:39,222.1154
16-05-2021 06:21,244.2307
16-05-2021 06:21,262.5
16-05-2021 06:21,276.9231
16-05-2021 04:30,291.3461
16-05-2021 04:30,301.923
16-05-2021 06:21,316.3461
16-05-2021 06:21,327.8846
16-05-2021 10:04,342.3077
16-05-2021 10:04,354.8077
16-05-2021 11:56,369.2307
16-05-2021 11:56,381.7308
16-05-2021 17:30,392.3077
16-05-2021 11:56,406.7307
17-05-2021 00:55,401.923
17-05-2021 02:47,380.7692
17-05-2021 02:47,365.3846
17-05-2021 02:47,349.0384
17-05-2021 04:38,327.8846
17-05-2021 04:38,307.6923
17-05-2021 08:21,289.4231
17-05-2021 06:29,274.0385
17-05-2021 10:12,259.6154
17-05-2021 17:38,243.2692
17-05-2021 15:46,230.7692
17-05-2021 15:46,212.5
17-05-2021 15:46,197.1154
17-05-2021 19:29,183.6538
17-05-2021 23:12,171.1539
18-05-2021 10:20,160.5769
18-05-2021 15:54,149.0385
18-05-2021 14:03,137.4999
18-05-2021 17:46,131.7308
19-05-2021 04:54,148.0769
19-05-2021 16:02,134.6154
19-05-2021 16:02,126.9231
19-05-2021 17:54,107.6923
20-05-2021 05:02,96.15387
20-05-2021 12:27,108.6538
21-05-2021 03:18,100.9616
21-05-2021 12:35,89.42302
21-05-2021 21:52,89.42302
22-05-2021 12:43,101.9231
23-05-2021 01:43,102.8846
23-05-2021 01:43,112.5
23-05-2021 03:34,133.6538
23-05-2021 11:00,120.1923
23-05-2021 20:17,108.6538
24-05-2021 03:42,121.1539
24-05-2021 05:34,128.8461
24-05-2021 14:51,128.8461
24-05-2021 20:25,120.1923
25-05-2021 03:50,128.8461
25-05-2021 14:59,119.2308
26-05-2021 07:41,125
26-05-2021 16:58,136.5385
26-05-2021 18:49,146.1539
26-05-2021 20:41,152.8846
27-05-2021 04:06,161.5384
27-05-2021 15:14,156.7307
28-05-2021 06:05,164.4231
28-05-2021 07:57,154.8077
28-05-2021 11:40,145.1923
28-05-2021 17:14,145.1923
29-05-2021 13:39,151.923
29-05-2021 22:56,129.8077
30-05-2021 19:21,122.1154
31-05-2021 06:29,129.8077
31-05-2021 19:29,117.3077
1-6-21   4:46,135.5769
1-6-21   19:37,126.9231
2-6-21   4:54,141.3462
2-6-21   14:11,126.9231
2-6-21   19:45,106.7308
3-6-21   10:36,112.5
4-6-21   5:10,107.6923
4-6-21   5:10,107.6923
4-6-21   10:44,98.07695
4-6-21   20:1,107.6923
5-6-21   12:43,96.15387
5-6-21   23:52,105.7693
6-6-21   9:8,114.4231
6-6-21   22:8,123.0769
7-6-21   1:51,131.7308
7-6-21   14:51,141.3462
7-6-21   14:51,147.1153
8-6-21   5:42,147.1153
8-6-21   11:16,159.6154
8-6-21   11:16,167.3077
8-6-21   20:33,177.8846
9-6-21   3:58,167.3077
9-6-21   3:58,167.3077
9-6-21   22:32,179.8077
10-6-21   5:58,195.1923
10-6-21   11:32,209.6154
11-6-21   7:57,209.6154
11-6-21   9:48,225
11-6-21   11:40,234.6154
11-6-21   19:5,248.0769
12-6-21   2:31,259.6154
12-6-21   9:56,273.0769
12-6-21   13:39,287.5
12-6-21   19:13,265.3846
12-6-21   21:4,256.7308
13-06-2021 04:30,273.0769
13-06-2021 08:13,281.7308
13-06-2021 08:13,281.7308
13-06-2021 11:56,295.1923
13-06-2021 17:30,267.3077
14-06-2021 06:29,277.8846
14-06-2021 15:46,289.4231
15-06-2021 02:55,306.7307
15-06-2021 15:54,300
15-06-2021 15:54,314.4231
15-06-2021 15:54,324.0385
15-06-2021 15:54,330.7692
16-06-2021 04:54,331.7308
16-06-2021 06:45,344.2307
16-06-2021 10:28,357.6923
16-06-2021 19:45,375
17-06-2021 03:10,365.3846
17-06-2021 12:27,373.0769
17-06-2021 16:10,356.7307
17-06-2021 18:01,343.2692
18-06-2021 03:18,333.6538
18-06-2021 08:53,333.6538
18-06-2021 16:18,319.2308
18-06-2021 23:44,301.923
19-06-2021 01:35,283.6538
19-06-2021 05:18,291.3461
19-06-2021 16:26,301.923
19-06-2021 20:09,290.3846
19-06-2021 20:09,276.9231
19-06-2021 22:00,267.3077
20-06-2021 03:34,251.9231
20-06-2021 09:08,268.2692
20-06-2021 20:17,259.6154
21-06-2021 03:42,245.1923
21-06-2021 07:25,230.7692
21-06-2021 12:59,221.1539
21-06-2021 20:25,208.6539
22-06-2021 03:50,223.0769
22-06-2021 09:24,214.4231
22-06-2021 14:59,201.9231
22-06-2021 14:59,187.5
23-06-2021 00:15,187.5
23-06-2021 07:41,173.0769
24-06-2021 00:23,164.4231
24-06-2021 13:23,166.3461
25-06-2021 02:23,178.8461
25-06-2021 13:31,164.4231
25-06-2021 15:22,176.9231
26-06-2021 04:22,181.7308
26-06-2021 17:22,170.1923
27-06-2021 02:39,146.1539
27-06-2021 10:04,130.7692
27-06-2021 15:38,137.4999
28-06-2021 15:46,132.6922
29-06-2021 04:46,146.1539
29-06-2021 19:37,135.5769
30-06-2021 08:37,146.1539
30-06-2021 19:45,137.4999
1-7-21   3:55,136.8932
1-7-21   5:49,142.7185
1-7-21   21:1,135.9223
2-7-21   6:30,143.6893
2-7-21   16:0,152.4272
3-7-21   1:29,151.4563
3-7-21   9:5,161.165
3-7-21   16:40,173.7864
3-7-21   20:28,182.5243
4-7-21   0:16,191.2622
4-7-21   5:57,200
4-7-21   17:21,205.8253
4-7-21   21:9,191.2622
4-7-21   23:3,180.5825
5-7-21   4:44,171.8447
5-7-21   4:44,166.0194
5-7-21   16:8,171.8447
6-7-21   3:31,165.0486
6-7-21   5:25,157.2816
6-7-21   11:7,154.3689
6-7-21   22:30,154.3689
7-7-21   2:18,148.5437
7-7-21   9:53,149.5146
8-7-21   4:52,140.7767
8-7-21   12:28,152.4272
9-7-21   1:45,150.4854
9-7-21   7:27,159.2233
9-7-21   13:9,166.0194
9-7-21   18:50,174.7573
10-7-21   0:32,182.5243
10-7-21   8:8,192.233
10-7-21   11:55,206.7961
10-7-21   13:49,217.4757
10-7-21   15:43,226.2136
10-7-21   21:25,234.9515
10-7-21   21:25,243.6893
11-7-21   3:7,250.4854
11-7-21   5:1,263.1068
11-7-21   5:1,269.9029
11-7-21   5:1,278.6408
11-7-21   5:1,285.4369
11-7-21   8:48,293.2039
11-7-21   16:24,287.3787
12-7-21   0:0,282.5243
12-7-21   3:47,292.233
12-7-21   5:41,303.8835
12-7-21   5:41,313.5922
12-7-21   5:41,322.3301
12-7-21   11:23,333.0097
12-7-21   20:52,325.2427
12-7-21   20:52,319.4175
